page,image_index_on_page,filename,caption,category_subfolder,output_path,image_hash,image_size_bytes,has_hood
7,1,M100474172_SDFRES_Frege_DTF_on_Steel.png,M100474172 SDFRES Frege DTF on Steel,tshirt/men,tshirt\men\M100474172_SDFRES_Frege_DTF_on_Steel.png,b4d36555e47b8ab1bfd8c8984861c69f,31795,False
7,2,M104022620_SDFOFS_Fork_DTF_on_Steel.png,M104022620 SDFOFS Fork DTF on Steel,tshirt/men,tshirt\men\M104022620_SDFOFS_Fork_DTF_on_Steel.png,e6c9e36b9b42be21b9ee1d1e9587e6db,38980,False
7,3,M89690963_SH2FDS_WVU_DTF_on_Steel_or_White.png,M89690963 SH2FDS WVU DTF on Steel or White,tshirt/men,tshirt\men\M89690963_SH2FDS_WVU_DTF_on_Steel_or_White.png,86d9f49c37c9beaae77249d92a4ad387,31684,False
7,4,M101307170_CM6999_Full_Front_Applique_on_Steel.png,M101307170 CM6999 Full Front Applique on Steel,tshirt/men,tshirt\men\M101307170_CM6999_Full_Front_Applique_on_Steel.png,183ebfdb00655f4f0e43af4972e656fe,28364,False
8,1,M102612120_SH2FDS_Custom_DTF_on_White.png,M102612120 SH2FDS Custom DTF on White,tshirt/men,tshirt\men\M102612120_SH2FDS_Custom_DTF_on_White.png,0554ea57a25be2935a2684cd73b91806,19295,False
8,2,M102609618_SDFRES_Frege_DTF_on_White.png,M102609618 SDFRES Frege DTF on White,tshirt/men,tshirt\men\M102609618_SDFRES_Frege_DTF_on_White.png,57a559f2f5ab9145c97d8625576dfbeb,19308,False
8,3,M205619895_SDBADS_Bard_DTF_on_White.png,M205619895 SDBADS Bard DTF on White,tshirt/men,tshirt\men\M205619895_SDBADS_Bard_DTF_on_White.png,94c3bb375945157345f2dbbcaff56fe1,21666,False
8,4,M205585046_SDSTMW_Steady_DTF_White_LST_Only.png,M205585046 SDSTMW Steady DTF White LST Only,tshirt/men,tshirt\men\M205585046_SDSTMW_Steady_DTF_White_LST_Only.png,ae08df9404da4edaf90e5f761de95d5b,26408,False
9,1,M103079843_SH2FDC_Jr_Custom_DTF_on_Navy.png,M103079843 SH2FDC Jr Custom DTF on Navy,tshirt/women,tshirt\women\M103079843_SH2FDC_Jr_Custom_DTF_on_Navy.png,1e4674543d6c666bb9d0d5bae696fb1f,17663,False
9,2,M205582010_SDSCMC_Jr_Shot_Clock_on_Navy.png,M205582010 SDSCMC Jr Shot Clock on Navy,tshirt/women,tshirt\women\M205582010_SDSCMC_Jr_Shot_Clock_on_Navy.png,dce110bf0b3b11c0067d339c5414d83f,19470,False
