page,image_index_on_page,filename,caption,category_subfolder,output_path
13,4,M102983468_SHSSUV_Custom_UV_Steel_Bottle.png,M102983468 SHSSUV Custom UV Steel Bottle,bottle,bottle\M102983468_SHSSUV_Custom_UV_Steel_Bottle.png
14,1,M102821852_SHSSUV_Custom_UV_Steel_Bottle.png,M102821852 SHSSUV Custom UV Steel Bottle,bottle,bottle\M102821852_SHSSUV_Custom_UV_Steel_Bottle.png
14,2,M103006839_SHSTPK_Custom_Sticker_Pack.png,M103006839 SHSTPK Custom Sticker Pack,sticker,sticker\M103006839_SHSTPK_Custom_Sticker_Pack.png
14,3,M103006734_SHSWMS_Swoosh_Mascot_Sticker_Pack.png,M103006734 SHSWMS Swoosh Mascot Sticker Pack,sticker,sticker\M103006734_SHSWMS_Swoosh_Mascot_Sticker_Pack.png
14,4,M103006972_SHAVES_Advenger_Mascot_Sticker.png,M103006972 SHAVES Advenger Mascot Sticker,sticker,sticker\M103006972_SHAVES_Advenger_Mascot_Sticker.png
15,1,M103006622_SHMEMS_Mesh_Stripe_Sticker.png,M103006622 SHMEMS Mesh Stripe Sticker,sticker,sticker\M103006622_SHMEMS_Mesh_Stripe_Sticker.png
15,2,M102313692_SHWGCH_Custom_PFD_Header_Card.png,M102313692 SHWGCH Custom PFD Header Card,card,card\M102313692_SHWGCH_Custom_PFD_Header_Card.png
15,3,M102313972_SHWGCS_Custom_Spinner_Header_Card.png,M102313972 SHWGCS Custom Spinner Header Card,card,card\M102313972_SHWGCS_Custom_Spinner_Header_Card.png
15,4,M102630540_SHMH24_Custom_4ft_Shelf_Magnet.png,M102630540 SHMH24 Custom 4ft Shelf Magnet,banner,banner\M102630540_SHMH24_Custom_4ft_Shelf_Magnet.png
16,1,M103209294_CM7062_Sun_Devils_Shelf_Sticker_48x5.png,M103209294 CM7062 Sun Devils Shelf Sticker 48x5,sticker,sticker\M103209294_CM7062_Sun_Devils_Shelf_Sticker_48x5.png
16,2,M103209417_CM7063_Arizona_State_Shelf_Sticker_48x5.png,M103209417 CM7063 Arizona State Shelf Sticker 48x5,sticker,sticker\M103209417_CM7063_Arizona_State_Shelf_Sticker_48x5.png
16,3,M103209595_CM7064_ASU_Sundevil_Banner_30x6.png,M103209595 CM7064 ASU Sundevil Banner 30x6,banner,banner\M103209595_CM7064_ASU_Sundevil_Banner_30x6.png
16,4,M103209844_CM7065_Forks_Up_Banner_30x35.png,M103209844 CM7065 Forks Up Banner 30x35,banner,banner\M103209844_CM7065_Forks_Up_Banner_30x35.png
17,1,M103209946_CM7066_ASU_Trident_Banner_30x44.png,M103209946 CM7066 ASU Trident Banner 30x44,banner,banner\M103209946_CM7066_ASU_Trident_Banner_30x44.png
17,2,M103212392_CM7067_ASU_Gear_Here_Banner_30x44.png,M103212392 CM7067 ASU Gear Here Banner 30x44,banner,banner\M103212392_CM7067_ASU_Gear_Here_Banner_30x44.png
