page,image_index_on_page,filename,caption,category_subfolder,output_path
8,4,M100446293_SHPSDS_Shake_it_DTF_Gray_Pants.png,M100446293 SHPSDS Shake it DTF Gray Pants,pants,pants\M100446293_SHPSDS_Shake_it_DTF_Gray_Pants.png
9,1,M100447223_SHVSCD_Value_DTF_Gray_Pants.png,M100447223 SHVSCD Value DTF Gray Pants,pants,pants\M100447223_SHVSCD_Value_DTF_Gray_Pants.png
9,2,M100448649_SHFDDS_Force_Down_DTF_Gray_Pants.png,M100448649 SHFDDS Force Down DTF Gray Pants,pants,pants\M100448649_SHFDDS_Force_Down_DTF_Gray_Pants.png
9,3,M100453813_SHSHDS_Custom_DTF_Gray_Shorts.png,M100453813 SHSHDS Custom DTF Gray Shorts,shorts,shorts\M100453813_SHSHDS_Custom_DTF_Gray_Shorts.png
9,4,M100453381_SHCCDS_Carbon_Copy_DTF_Gray_Shorts.png,M100453381 SHCCDS Carbon Copy DTF Gray Shorts,shorts,shorts\M100453381_SHCCDS_Carbon_Copy_DTF_Gray_Shorts.png
10,1,M100489250_SHE1CH_Custom_Hat_on_Forest.png,M100489250 SHE1CH Custom Hat on Forest,hat,hat\M100489250_SHE1CH_Custom_Hat_on_Forest.png
10,2,M100490059_SHEHFL_Front_Line_Forest_Green_Hat.png,M100490059 SHEHFL Front Line Forest Green Hat,hat,hat\M100490059_SHEHFL_Front_Line_Forest_Green_Hat.png
10,3,M100485992_SHE2CH_Custom_Spartan_on_Green.png,M100485992 SHE2CH Custom Spartan on Green,tshirt/men,tshirt\men\M100485992_SHE2CH_Custom_Spartan_on_Green.png
10,4,M100487428_SECHHC_Chirp_Gray_Hat.png,M100487428 SECHHC Chirp Gray Hat,hat,hat\M100487428_SECHHC_Chirp_Gray_Hat.png
11,1,M100489153_SHE1CH_Custom_Hat_on_White_or_Grays.png,M100489153 SHE1CH Custom Hat on White or Grays,hat,hat\M100489153_SHE1CH_Custom_Hat_on_White_or_Grays.png
11,2,M100488283_SHE1CH_Custom_Logo_on_White_or_Gray.png,M100488283 SHE1CH Custom Logo on White or Gray,tshirt/men,tshirt\men\M100488283_SHE1CH_Custom_Logo_on_White_or_Gray.png
11,3,M100494213_SHE2CB_Custom_Green_Beanie.png,M100494213 SHE2CB Custom Green Beanie,beanie,beanie\M100494213_SHE2CB_Custom_Green_Beanie.png
11,4,M100492686_SHETMB_Talisman_Green_Beanie.png,M100492686 SHETMB Talisman Green Beanie,beanie,beanie\M100492686_SHETMB_Talisman_Green_Beanie.png
12,1,M100494173_SHE1CB_Custom_Spartan_Gray_Beanie.png,M100494173 SHE1CB Custom Spartan Gray Beanie,beanie,beanie\M100494173_SHE1CB_Custom_Spartan_Gray_Beanie.png
12,2,M101011832_SHERBE_Rugby_Forest_Beanie.png,M101011832 SHERBE Rugby Forest Beanie,beanie,beanie\M101011832_SHERBE_Rugby_Forest_Beanie.png
12,3,M100415850_SS8052_Custom_Logo_Socks.png,M100415850 SS8052 Custom Logo Socks,socks,socks\M100415850_SS8052_Custom_Logo_Socks.png
12,4,M100497935_SS8052_Custom_Michigan_State_Socks.png,M100497935 SS8052 Custom Michigan State Socks,socks,socks\M100497935_SS8052_Custom_Michigan_State_Socks.png
13,1,M100454089_SHWBOT_Custom_Water_Bottle.png,M100454089 SHWBOT Custom Water Bottle,bottle,bottle\M100454089_SHWBOT_Custom_Water_Bottle.png
13,2,M100516533_SHWGCS_Spinner_Header_Card.png,M100516533 SHWGCS Spinner Header Card,card,card\M100516533_SHWGCS_Spinner_Header_Card.png
13,3,M100516676_SHWGCH_PFD_Header_Card.png,M100516676 SHWGCH PFD Header Card,card,card\M100516676_SHWGCH_PFD_Header_Card.png
