page,image_index_on_page,filename,caption,category_subfolder,output_path,image_hash,image_size_bytes
15,3,M102076380_SS8052_Custom_Logo_Socks.png,M102076380 SS8052 Custom Logo Socks,socks,socks\M102076380_SS8052_Custom_Logo_Socks.png,f12acf9df0c424890abd678499c6a30b,27550
15,4,M102812532_SHPLUD_Custom_DTF_Plush.png,M102812532 SHPLUD Custom DTF Plush,plush,plush\M102812532_SHPLUD_Custom_DTF_Plush.png,726d39967b855b2040ff85f50db31e84,32837
16,1,M103493133_SDSBUD_Study_Buddy_DTF_Plush.png,M103493133 SDSBUD Study Buddy DTF Plush,plush,plush\M103493133_SDSBUD_Study_Buddy_DTF_Plush.png,b434cd5e11314040da7a75ec2c00ff79,39202
16,2,M103424752_SDBESP_Beary_Special_DTF_Plush.png,M103424752 SDBESP Beary Special DTF Plush,plush,plush\M103424752_SDBESP_Beary_Special_DTF_Plush.png,885b8a91d68a8cb3ef4d0d3bc2097894,36802
16,3,M103425261_SDBOUN_Bouncy_DTF_Plush.png,M103425261 SDBOUN Bouncy DTF Plush,plush,plush\M103425261_SDBOUN_Bouncy_DTF_Plush.png,f961bb090b5244f6fd147442cf79b94f,37766
16,4,M103425721_SDCORA_Corazon_DTF_Plush.png,M103425721 SDCORA Corazon DTF Plush,plush,plush\M103425721_SDCORA_Corazon_DTF_Plush.png,f84782d5d8b072c40ee9cbc4b8ebe58d,36946
17,1,M103425057_SDCARI_Carino_DTF_Plush.png,M103425057 SDCARI Carino DTF Plush,plush,plush\M103425057_SDCARI_Carino_DTF_Plush.png,1e541676633097a864dfc7eb1aff348c,36609
17,2,M103092441_SHWBUV_Custom_UV_Water_Bottle.png,M103092441 SHWBUV Custom UV Water Bottle,bottle,bottle\M103092441_SHWBUV_Custom_UV_Water_Bottle.png,e2271898ca5b24676b52fddccb9cdeaa,16070
17,3,M102822680_SHWBUV_Custom_UV_Water_Bottle.png,M102822680 SHWBUV Custom UV Water Bottle,bottle,bottle\M102822680_SHWBUV_Custom_UV_Water_Bottle.png,82a00c5de9fcd9560086c505ad39e4c2,40612
17,4,M102983866_SHWBUV_Custom_UV_Water_Bottle.png,M102983866 SHWBUV Custom UV Water Bottle,bottle,bottle\M102983866_SHWBUV_Custom_UV_Water_Bottle.png,77caf663ab51ff1e839a37f3be84ea5b,45313
18,1,M102983914_SHWBUV_Custom_UV_Water_Bottle.png,M102983914 SHWBUV Custom UV Water Bottle,bottle,bottle\M102983914_SHWBUV_Custom_UV_Water_Bottle.png,28c9a156a365cbd0b5c6fc7676d5ddea,29258
18,2,M103092526_SHSSUV_Custom_UV_Water_Bottle.png,M103092526 SHSSUV Custom UV Water Bottle,bottle,bottle\M103092526_SHSSUV_Custom_UV_Water_Bottle.png,466dfb6c07c494931142d8c8d3dee1b4,17056
18,3,M102983468_SHSSUV_Custom_UV_Steel_Bottle.png,M102983468 SHSSUV Custom UV Steel Bottle,bottle,bottle\M102983468_SHSSUV_Custom_UV_Steel_Bottle.png,432d8a86539eff99c201af0a0c110715,58763
18,4,M102821852_SHSSUV_Custom_UV_Steel_Bottle.png,M102821852 SHSSUV Custom UV Steel Bottle,bottle,bottle\M102821852_SHSSUV_Custom_UV_Steel_Bottle.png,0e717743bce839b6e8c6efb9d4973044,35106
19,1,M103006839_SHSTPK_Custom_Sticker_Pack.png,M103006839 SHSTPK Custom Sticker Pack,sticker,sticker\M103006839_SHSTPK_Custom_Sticker_Pack.png,c1a389118588d48158f118be8881b4ad,51245
19,2,M103006734_SHSWMS_Swoosh_Mascot_Sticker_Pack.png,M103006734 SHSWMS Swoosh Mascot Sticker Pack,sticker,sticker\M103006734_SHSWMS_Swoosh_Mascot_Sticker_Pack.png,4b76b6d6be9f6faf0268f7079a798f8b,61093
19,3,M103006972_SHAVES_Advenger_Mascot_Sticker.png,M103006972 SHAVES Advenger Mascot Sticker,sticker,sticker\M103006972_SHAVES_Advenger_Mascot_Sticker.png,8f333f5d57d416ef4cc44299373d8ba1,69874
19,4,M103006622_SHMEMS_Mesh_Stripe_Sticker.png,M103006622 SHMEMS Mesh Stripe Sticker,sticker,sticker\M103006622_SHMEMS_Mesh_Stripe_Sticker.png,5a900b606a1f55b1ece23050c22e9b8f,23636
20,1,M103842871_SDBAPA_Custom_DTF_Black_Cinch_Backpac.png,M103842871 SDBAPA Custom DTF Black Cinch Backpac,backpack,backpack\M103842871_SDBAPA_Custom_DTF_Black_Cinch_Backpac.png,fc7b25342745e8e02c3303e040683ad5,28159
20,2,M103843288_SDBAPA_Custom_Logo_Gold_Cinch_Backpac.png,M103843288 SDBAPA Custom Logo Gold Cinch Backpac,backpack,backpack\M103843288_SDBAPA_Custom_Logo_Gold_Cinch_Backpac.png,6fdaa330375415ab1238f4a8036ba89a,29963
20,3,M102313692_SHWGCH_Custom_PFD_Header_Card.png,M102313692 SHWGCH Custom PFD Header Card,signage,signage\M102313692_SHWGCH_Custom_PFD_Header_Card.png,854cd4b3ea0fe19d1891c2eb774ccfe6,18047
20,4,M102313972_SHWGCS_Custom_Spinner_Header_Card.png,M102313972 SHWGCS Custom Spinner Header Card,signage,signage\M102313972_SHWGCS_Custom_Spinner_Header_Card.png,b46c113c5ec5931120e3626985567d81,25586
21,1,M102630540_SHMH24_Custom_4ft_Shelf_Magnet.png,M102630540 SHMH24 Custom 4ft Shelf Magnet,signage,signage\M102630540_SHMH24_Custom_4ft_Shelf_Magnet.png,85dba888a2a0966b04c0c9cdd738913b,15231
21,2,M103209294_CM7062_Sun_Devils_Shelf_Sticker_48x5.png,M103209294 CM7062 Sun Devils Shelf Sticker 48x5,sticker,sticker\M103209294_CM7062_Sun_Devils_Shelf_Sticker_48x5.png,19dc01cd00acb4449efbb07366f5ebfe,11593
21,3,M103209417_CM7063_Arizona_State_Shelf_Sticker_48x5.png,M103209417 CM7063 Arizona State Shelf Sticker 48x5,sticker,sticker\M103209417_CM7063_Arizona_State_Shelf_Sticker_48x5.png,5bc5aea00d206732324828427a16c845,12399
