page,image_index_on_page,filename,caption,category_subfolder,output_path,image_hash,image_size_bytes
7,1,M100110295_SDMULS_Jr_Multipler_DTF_on_Steel.png,M100110295 SDMULS Jr Multipler DTF on Steel,tshirt/women,tshirt\women\M100110295_SDMULS_Jr_Multipler_DTF_on_Steel.png,a16d4042cb96aad385aa244161ae6311,26553
7,2,M100109716_SDVGIS_Jr_Valley_Girl_DTF_on_Steel.png,M100109716 SDVGIS Jr Valley Girl DTF on Steel,tshirt/women,tshirt\women\M100109716_SDVGIS_Jr_Valley_Girl_DTF_on_Steel.png,45198315dc659237c236998fa8be5b8c,26443
7,3,M100109174_SDBIOS_Jr_Bionic_DTF_on_Steel.png,M100109174 SDBIOS Jr Bionic DTF on Steel,tshirt/women,tshirt\women\M100109174_SDBIOS_Jr_Bionic_DTF_on_Steel.png,f8eb4186fd233814e6a8dcffbbd9930f,28018
7,4,M100133741_SH2FDS_Jr_Full_Front_DTF_on_SteelWhite.png,M100133741 SH2FDS Jr Full Front DTF on Steel/White,tshirt/women,tshirt\women\M100133741_SH2FDS_Jr_Full_Front_DTF_on_SteelWhite.png,b488d5093bb7094c903da6423a491b41,12307
8,1,M100082210_SH2FDS_Full_Custom_DTFN_SteelWhite.png,M100082210 SH2FDS Full Custom DTFN Steel/White,tshirt/men,tshirt\men\M100082210_SH2FDS_Full_Custom_DTFN_SteelWhite.png,3eb7dff0ad5a38ce1e1743b00e9b27f4,12682
8,2,M102145983_SDINTO_Custom_Infant_DTF_on_SteelWhite.png,M102145983 SDINTO Custom Infant DTF on Steel/White,infant,infant\M102145983_SDINTO_Custom_Infant_DTF_on_SteelWhite.png,403ca7e0fbd0ef04f4b593aaef991506,31479
8,3,M102145493_SHISFD_Superfan_DTF_Onsie_on_Steel.png,M102145493 SHISFD Superfan DTF Onsie on Steel,infant,infant\M102145493_SHISFD_Superfan_DTF_Onsie_on_Steel.png,3b3b8f13e323f1b1047c880e7eaf6c7b,31013
8,4,M102153239_SDINTO_Custom_Infant_DTF_on_Steel.png,M102153239 SDINTO Custom Infant DTF on Steel,infant,infant\M102153239_SDINTO_Custom_Infant_DTF_on_Steel.png,cac8e328db3399a37b5d8757ac802b2f,34878
9,1,M102144567_SHY2DC_Custom_Big_Al_Youth_DTF_on_Stee.png,M102144567 SHY2DC Custom Big Al Youth DTF on Stee,tshirt/women,tshirt\women\M102144567_SHY2DC_Custom_Big_Al_Youth_DTF_on_Stee.png,9ba3e9b114bd9955d5b16041e9ef05e8,33223
9,2,M102145648_SDYBXS_Youth_Braxton_DTF_on_Steel.png,M102145648 SDYBXS Youth Braxton DTF on Steel,tshirt/women,tshirt\women\M102145648_SDYBXS_Youth_Braxton_DTF_on_Steel.png,11033a7df60c03be440bdcfa4f16b0b7,36941
