page,image_index_on_page,filename,caption,category_subfolder,output_path,image_hash,image_size_bytes,has_hood
7,1,M102986110_SHE1CJ_CustomCrimson_Fleece_Jacket.png,M102986110 SHE1CJ CustomCrimson Fleece Jacket,jacket,jacket\M102986110_SHE1CJ_CustomCrimson_Fleece_Jacket.png,3f2707ee2e081b39bdb6101d0ddca80f,340988,False
7,2,M104202880_SHE2CJ_Custom_Logo_Jacket.png,M104202880 SHE2CJ Custom Logo Jacket,jacket,jacket\M104202880_SHE2CJ_Custom_Logo_Jacket.png,ad3481a55fe84f127ec3bca64a595ac1,279118,False
7,3,M100784216_SDLCJA_Custom_DTF_Charcoal_Jacket.png,M100784216 SDLCJA Custom DTF Charcoal Jacket,jacket,jacket\M100784216_SDLCJA_Custom_DTF_Charcoal_Jacket.png,8438e46e8e7cf038d03f2e41c8900c74,502822,False
7,4,M100784122_SHPHFD_Custom_DTF_Flannels.png,M100784122 SHPHFD Custom DTF Flannels,flannels,flannels\M100784122_SHPHFD_Custom_DTF_Flannels.png,9e1e3325691dc6c2a6f42c99fed17db2,432953,False
8,1,M100785570_SDGMPF_Game_Master_DTF_Flannels.png,M100785570 SDGMPF Game Master DTF Flannels,flannels,flannels\M100785570_SDGMPF_Game_Master_DTF_Flannels.png,cac0e752fba7edcfbafef043d0947737,436682,False
8,2,M100784033_SHPHDS_Custom_DTF_Steel_Pants.png,M100784033 SHPHDS Custom DTF Steel Pants,pants,pants\M100784033_SHPHDS_Custom_DTF_Steel_Pants.png,cabf77dc76864d53441912b25888413c,420392,False
8,3,M100785388_SDINPS_Initiative_DTF_Steel_Pants.png,M100785388 SDINPS Initiative DTF Steel Pants,pants,pants\M100785388_SDINPS_Initiative_DTF_Steel_Pants.png,98155cc4f8842e234de1c7f4194e8d4c,412277,False
8,4,M205635443_SDSCSC_Score_DTF_Black_Shorts.png,M205635443 SDSCSC Score DTF Black Shorts,shorts,shorts\M205635443_SDSCSC_Score_DTF_Black_Shorts.png,054a6ecd1ebc8bf69a3ecc7b348122ac,231406,False
9,1,M103099838_SPSPSS_Custom_DTF_Gray_Stripe_Shorts.png,M103099838 SPSPSS Custom DTF Gray Stripe Shorts,shorts,shorts\M103099838_SPSPSS_Custom_DTF_Gray_Stripe_Shorts.png,56c72faafa7cdc1bdd1d82a13f311531,285136,False
9,2,M100786420_SHSHDC_Custom_DTFN_Black_Shorts.png,M100786420 SHSHDC Custom DTFN Black Shorts,shorts,shorts\M100786420_SHSHDC_Custom_DTFN_Black_Shorts.png,c0d93a3246264ccca4965370deb05043,196711,False
9,3,M205635635_SDEVSS_Evocation_DTF_Gray_Shorts.png,M205635635 SDEVSS Evocation DTF Gray Shorts,shorts,shorts\M205635635_SDEVSS_Evocation_DTF_Gray_Shorts.png,c595e5ee9b064b1b5506aaa083e0a2a7,445245,False
9,4,M100785727_SHSHDS_Custom_DTF_Charcoal_Shorts.png,M100785727 SHSHDS Custom DTF Charcoal Shorts,shorts,shorts\M100785727_SHSHDS_Custom_DTF_Charcoal_Shorts.png,5d1aeba43dcd0666fce4d3d245152e1b,262890,False
10,1,M100915320_SHE2CH_Custom_Logo_Black_Hat.png,M100915320 SHE2CH Custom Logo Black Hat,hat,hat\M100915320_SHE2CH_Custom_Logo_Black_Hat.png,1e01b4c88ca60a1c42420b94ade786c5,161075,False
10,2,M206217389_SHE1CH_Athletic_Mark_Gray_or_White_Hat.png,M206217389 SHE1CH Athletic Mark Gray or White Hat,hat,hat\M206217389_SHE1CH_Athletic_Mark_Gray_or_White_Hat.png,c96f3550d5bc3fc0f2ee796e99a97a58,159227,False
10,3,M100915218_SHE1CH_Custom_Logo_Gray_Hat.png,M100915218 SHE1CH Custom Logo Gray Hat,hat,hat\M100915218_SHE1CH_Custom_Logo_Gray_Hat.png,de9d97c13f2f8eacda49abd1b71d9b2f,161135,False
10,4,M101362966_SHE1CB_Custom_Gray_or_White_Beanie.png,M101362966 SHE1CB Custom Gray or White Beanie,beanie,beanie\M101362966_SHE1CB_Custom_Gray_or_White_Beanie.png,e572f2505257844ee01584b6b0ef88ea,256937,False
11,1,M101363128_SHE1CB_Custom_Gray_or_White_Beanie.png,M101363128 SHE1CB Custom Gray or White Beanie,beanie,beanie\M101363128_SHE1CB_Custom_Gray_or_White_Beanie.png,21e5aa34835e361c49a25c11798cf3fa,274558,False
11,2,M100785981_SS8052_Custom_Logo_Socks.png,M100785981 SS8052 Custom Logo Socks,socks,socks\M100785981_SS8052_Custom_Logo_Socks.png,1da125e8e9478994e5a84d75d926cb8e,182948,False
11,3,M205635738_SS8052_Custom_Socks.png,M205635738 SS8052 Custom Socks,socks,socks\M205635738_SS8052_Custom_Socks.png,efdd2fb91ae3b6bda27e921e719f9393,264894,False
11,4,M100785836_SHWBOT_Custom_Logo_Water_Bottle.png,M100785836 SHWBOT Custom Logo Water Bottle,bottle,bottle\M100785836_SHWBOT_Custom_Logo_Water_Bottle.png,55562e07d5b3ad9c5447c1285fa719e7,177210,False
12,1,M102005540_SHSSUV_Stainless_Steel_Water_Bottle.png,M102005540 SHSSUV Stainless Steel Water Bottle,bottle,bottle\M102005540_SHSSUV_Stainless_Steel_Water_Bottle.png,583c31d9ab079c8f705e41a745f0dad2,258876,False
12,2,M100786180_SDBAPA_Custom_DTF_Back_Pack.png,M100786180 SDBAPA Custom DTF Back Pack,backpack,backpack\M100786180_SDBAPA_Custom_DTF_Back_Pack.png,2ae7ce795a0bad296031c5a471efbedc,311069,False
12,3,M104272749_SHSWMS_Swoosh_Sticker_Pack.png,M104272749 SHSWMS Swoosh Sticker Pack,sticker,sticker\M104272749_SHSWMS_Swoosh_Sticker_Pack.png,8550a0d90627873038c14b0086549d5f,239995,False
12,4,M104272333_SHSTPK_Mascot_Sticker_Pack.png,M104272333 SHSTPK Mascot Sticker Pack,sticker,sticker\M104272333_SHSTPK_Mascot_Sticker_Pack.png,c6a906e9db10e3a8a22a71e0bbf0ad0a,367471,False
13,1,M100915719_SHPLUD_Custom_Plush_DTF_on_Steel.png,M100915719 SHPLUD  Custom Plush DTF on Steel,plush,plush\M100915719_SHPLUD_Custom_Plush_DTF_on_Steel.png,8d809776381623ba689cdec3bf6b87f1,287759,False
13,2,M100910849_SHWGCS_Custom_Spinner_Header.png,M100910849 SHWGCS Custom Spinner Header,signage,signage\M100910849_SHWGCS_Custom_Spinner_Header.png,c26eb67fdcd89145c40e362298637110,203869,False
13,3,M100910918_SHWGCH_Custom_PFD_Header.png,M100910918 SHWGCH Custom PFD Header,signage,signage\M100910918_SHWGCH_Custom_PFD_Header.png,2d935282a9beb69aaaa97c7538dab285,194710,False
13,4,M103201372_SHMH23_3Ft_Shelf_Magnet.png,M103201372 SHMH23 3Ft Shelf Magnet,signage,signage\M103201372_SHMH23_3Ft_Shelf_Magnet.png,8c23d0dd1aa6fda7f2140465b4fbb3e6,289543,False
14,1,M103360752_SHMH24_4Ft_Shelf_Magnet.png,M103360752 SHMH24 4Ft Shelf Magnet,signage,signage\M103360752_SHMH24_4Ft_Shelf_Magnet.png,b0cb96372cc137481133b6900a28f08a,302433,False
