page,image_index_on_page,filename,caption,category_subfolder,output_path,image_hash,image_size_bytes,has_hood
7,1,M104166733_SDOCPS_Octane_DTF_Black_Pants.png,M104166733 SDOCPS Octane DTF Black Pants,pants,pants\M104166733_SDOCPS_Octane_DTF_Black_Pants.png,34612a56f327f128044f25aa954f3961,22224,False
7,2,M104166449_SDGMPS_Game_Master_DTF_DKH_Pants.png,M104166449 SDGMPS Game Master DTF  DKH Pants,pants,pants\M104166449_SDGMPS_Game_Master_DTF_DKH_Pants.png,c5e2c26f162f2c11cb23fe1b6fc56499,29220,False
7,3,M103293017_SHPHDS_Custom_DTF_Steel_Pants.png,M103293017 SHPHDS Custom DTF Steel Pants,pants,pants\M103293017_SHPHDS_Custom_DTF_Steel_Pants.png,57fb1110574322ba5c7c3bb0938b55fa,26895,False
7,4,M103293136_SDSPSS_Custom_DTF_Side_Print_Shorts.png,M103293136 SDSPSS Custom DTF Side Print Shorts,shorts,shorts\M103293136_SDSPSS_Custom_DTF_Side_Print_Shorts.png,e246359e3473c38cbab45ec0d247dcc1,36195,False
8,1,M103293295_SDSKSS_Skill_Check_DTF_Oxford_Shorts.png,M103293295 SDSKSS Skill Check DTF Oxford Shorts,shorts,shorts\M103293295_SDSKSS_Skill_Check_DTF_Oxford_Shorts.png,f8e600a1b929c6cc9e7b12990ec2696f,33575,False
8,2,M103293879_SHE1CH_Custom_Kelly_Green_Hat.png,M103293879 SHE1CH Custom Kelly Green Hat,hat,hat\M103293879_SHE1CH_Custom_Kelly_Green_Hat.png,cf5a241ba84e4f47719a0e058ec3cc4b,21354,False
8,3,M103294617_SHE1CH_Custom_Gray_Hat.png,M103294617 SHE1CH Custom Gray Hat,hat,hat\M103294617_SHE1CH_Custom_Gray_Hat.png,563e2a5bc8cc63764668a2dd8081f8bd,17737,False
8,4,M103296471_SELISH_Lightweight_Gray_Hat.png,M103296471 SELISH Lightweight Gray Hat,hat,hat\M103296471_SELISH_Lightweight_Gray_Hat.png,139fa00df2a44800a29550b8210668d0,16462,False
9,1,M103294896_SHE2CB_Custom_Kelly_Green_Beanie.png,M103294896 SHE2CB Custom Kelly Green Beanie,beanie,beanie\M103294896_SHE2CB_Custom_Kelly_Green_Beanie.png,6cc0dae00ce5c1db2688af681ef25319,21124,False
9,2,M103295096_SHE1CB_Custom_Kellly_Green_Beanie.png,M103295096 SHE1CB Custom Kellly Green Beanie,beanie,beanie\M103295096_SHE1CB_Custom_Kellly_Green_Beanie.png,cf12f8ef8b379c612fe4f09c42d3ac9b,21667,False
9,3,M104168363_SHE1CB_Custom_Black_Beanie.png,M104168363 SHE1CB Custom Black Beanie,beanie,beanie\M104168363_SHE1CB_Custom_Black_Beanie.png,796bce9f97eaf6051cb4ce98aaa83d7b,10835,False
9,4,M104168052_SEAQBC_American_Quailty_Black_Beanie.png,M104168052 SEAQBC American Quailty Black Beanie,beanie,beanie\M104168052_SEAQBC_American_Quailty_Black_Beanie.png,27db7e6e08356465783e3576a443adeb,15121,False
10,1,M103295192_SHE1CB_Custom_Gray_Beanie.png,M103295192 SHE1CB Custom Gray Beanie,beanie,beanie\M103295192_SHE1CB_Custom_Gray_Beanie.png,991ad316776f21d2585b3e3c97527436,19133,False
